GENESIS-Tabelle: Temporär
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2011;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
08125013;        Brackenheim;4575;873;410;216;73;3;63;41;4;393;387;3077;0;4;565;40;1;18;18
08125017;        Cleebronn;1709;273;148;41;20;1;28;7;1;96;96;753;0;0;669;6;0;8;7
08125021;        Eberstadt;1250;211;80;51;9;0;9;6;1;122;122;614;0;0;414;8;1;2;2
08125024;        Ellhofen;586;190;91;49;12;2;16;13;2;78;72;353;0;0;37;5;0;1;1
08125026;        Eppingen, Stadt;8859;1340;646;357;111;4;125;97;8;557;537;5100;0;0;2313;77;0;29;29
08125027;        Erlenbach;1273;269;117;71;19;0;16;12;1;134;134;678;0;0;310;9;1;6;6
08125030;        Flein;847;222;130;91;12;1;11;7;1;78;78;508;0;0;110;5;0;3;3
08125034;        Gemmingen;1908;321;168;91;28;1;15;7;1;135;121;1182;0;0;366;9;23;6;6
08125038;        Güglingen;1627;379;220;88;81;1;21;9;2;136;131;996;0;0;231;10;6;4;4
08125039;        Gundelsheim, Württ;3845;414;214;126;19;1;19;6;2;177;167;2059;0;0;1282;53;18;19;19
08125046;        Ilsfeld;2651;559;298;136;63;0;25;16;3;232;232;1722;0;0;327;20;18;6;6
08125047;        Ittlingen;1411;182;83;49;14;0;4;2;1;93;89;929;0;0;264;11;24;2;2
08125048;        Jagsthausen;1767;209;75;40;7;6;12;7;1;115;104;1051;0;0;453;35;0;19;16
08125049;        Kirchardt;2150;378;205;99;59;4;16;8;2;152;152;1416;0;0;343;13;0;1;1
08125056;        Lauffen am Neckar;2263;421;217;111;37;2;17;10;5;181;159;1489;0;0;225;102;4;21;21
08125057;        Lehrensteinsfeld;622;111;60;38;3;0;7;5;1;44;44;328;0;0;177;3;0;2;2
08125058;        Leingarten;2348;479;261;132;53;2;33;20;4;181;169;1505;0;0;346;9;2;6;6
08125059;        Löwenstein;2346;250;103;62;5;0;32;23;1;113;113;688;0;0;1369;33;4;1;1
08125061;        Massenbachhausen;878;163;89;54;14;3;11;7;1;60;60;546;0;0;165;2;0;1;1
08125063;        Möckmühl;4960;693;274;126;62;4;48;38;2;364;328;2801;0;0;1348;55;0;62;62
08125065;        Neckarsulm, Stadt;2494;953;573;256;162;8;75;52;8;289;274;1180;0;0;311;40;1;10;10
08125066;        Neckarwestheim;1397;372;145;49;11;0;132;4;1;94;94;549;0;0;439;31;1;4;4
08125068;        Neudenau;3292;372;159;99;20;1;16;5;2;193;161;1828;0;0;1021;44;6;22;22
08125069;        Neuenstadt am Kocher;4119;619;305;165;60;4;37;25;2;271;271;2483;0;0;970;41;0;4;3
08125074;        Nordheim, Württ;1271;291;157;95;17;0;15;8;3;115;113;868;0;0;101;7;0;4;4
08125078;        Oedheim;2124;338;170;100;8;1;26;17;3;138;121;1459;0;0;271;55;0;1;1
08125079;        Offenau;566;216;148;49;82;0;10;7;2;55;46;287;0;0;34;25;0;4;4
08125081;        Pfaffenhofen;1204;188;80;41;22;1;11;7;1;95;91;621;0;0;373;15;5;2;2
08125084;        Roigheim;1401;150;56;29;8;2;6;1;0;86;76;763;0;0;455;12;0;21;21
08125086;        Schwaigern;4948;754;320;164;53;30;59;15;2;343;326;2873;0;0;1292;22;1;8;8
08125087;        Siegelsbach;768;111;51;30;7;1;5;2;1;54;49;484;0;0;169;3;0;1;1
08125094;        Talheim, Neckar;1162;247;136;77;34;0;12;8;2;97;97;692;0;0;199;7;5;11;11
08125096;        Untereisesheim;367;103;67;50;6;0;6;5;1;29;29;249;0;0;2;13;0;1;1
08125098;        Untergruppenbach;2727;403;204;132;19;0;18;13;5;175;175;1086;0;0;1224;9;0;5;5
08125102;        Weinsberg;2222;641;295;147;35;1;43;35;4;299;290;1030;0;0;527;13;1;10;10
08125103;        Widdern;2523;271;73;36;5;2;14;9;1;182;175;1312;0;0;860;35;0;45;45
08125107;        Wüstenrot;3002;382;247;167;15;1;20;12;2;112;112;1008;0;0;1582;18;2;9;9
08125108;        Zaberfeld;2218;287;138;88;20;0;17;13;1;130;125;1230;0;0;658;30;3;9;9
08125110;        Obersulm;3107;712;359;235;46;2;94;78;6;251;228;1482;0;0;863;45;0;5;5
08125111;        Hardthausen am Kocher;3555;333;140;76;27;4;9;5;2;178;178;1516;0;0;1665;37;0;4;4
08125113;        Langenbrettach;2397;279;123;74;15;3;11;3;1;142;136;1441;0;0;653;19;0;5;5
_____
zu 'gesamte Tabelle':
Baden-Württemberg: Berichtsjahr 2008-2010 Gebietsstand
"01.01.2009; ab Berichtsjahr 2011 Gebietsstand 01.01.2011"
Baden-Württemberg: bis 2010 Landessummen einschl.
gemeindefreies Gebiet Rheinau (Ortenaukreis). Ab 2011
Landessummen einschl. der gemeindefreien Gebiete Rheinau
(Ortenaukreis) und des Gutsbezirks Münsingen (Landkreis
Reutlingen)
Rheinland-Pfalz: ab 2011 Gebietsstand des Folgejahres.
Rheinland-Pfalz, Saarland: Landessumme einschl. des
"gemeinschaftlichen deutsch-luxemburgischen Hoheitsgebiets;"
Berlin: Gemeindetabelle liegt auch für Bezirke vor.

zu 'Flächen anderer Nutzung, insgesamt'
Sachsen-Anhalt: ab 2009 einschließlich Friedhofsfläche
_____
(C)opyright Statistische Ämter des Bundes und der Länder, 2013
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet.
Stand: 09.07.2013 / 15:09:18
